Locus	Prop. Matching Expression with Dsc1	Gene
LOC5571436	0.796819537	
LOC5566763	0.796535567	
LOC5577379	0.795967627	
LOC5564925	0.795825642	
LOC5577698	0.795115718	
LOC110676026	0.794973733	
LOC110675257	0.793837853	
LOC5579480	0.793553883	
LOC5566642	0.792843959	
LOC23687632	0.792843959	
LOC110676690	0.792418004	
LOC5579996	0.791992049	
LOC5564177	0.791566094	
LOC5566966	0.791566094	
LOC5573007	0.791140139	
LOC110679492	0.790714184	
LOC5569913	0.790288229	
LOC5575019	0.790146244	
LOC23687450	0.788726395	
LOC5566594	0.78858441	
LOC5567482	0.78858441	
LOC5576493	0.7877325	
LOC5570773	0.787306546	
LOC5570887	0.787306546	
LOC23687721	0.787164561	
LOC5567324	0.787022576	
LOC5564358	0.786596621	
LOC5569422	0.785886696	
LOC5578840	0.785602726	
LOC110679629	0.785318756	
LOC5565055	0.783614937	
LOC110676218	0.783330967	
LOC5570105	0.783046997	
LOC5573475	0.783046997	
LOC5573441	0.782905012	
LOC5572753	0.781627148	
LOC5569925	0.780775238	
LOC5570381	0.780207298	
LOC5568580	0.780065313	
LOC5567292	0.779781343	
LOC5570922	0.779497373	
LOC5565116	0.777367599	
LOC5578544	0.777083629	
LOC5564557	0.776799659	
LOC5564718	0.776515689	
LOC5569446	0.776373704	
LOC5565544	0.774385915	
LOC5566917	0.774385915	
LOC5571764	0.77395996	
LOC5568338	0.773534005	
LOC5577804	0.773108051	
LOC5577431	0.773108051	
LOC5573211	0.773108051	
LOC5573886	0.772398126	
LOC5575755	0.771972171	
LOC5576390	0.771688201	
LOC5574099	0.771120261	
LOC5563757	0.770978276	
LOC5564339	0.770552321	
LOC5571208	0.770552321	
LOC5564400	0.769132472	
LOC5571510	0.769132472	
LOC5564298	0.768990487	
LOC5569106	0.768848502	
LOC5565105	0.768564532	
LOC5566564	0.768564532	
LOC5572373	0.768422547	
LOC5568326	0.768280562	
LOC5576356	0.768138577	
LOC5577524	0.767428653	
LOC5572998	0.767002698	
LOC5566425	0.766150788	
LOC5577203	0.766150788	
LOC5563924	0.764021014	
LOC5569804	0.762743149	
LOC5578447	0.762743149	
LOC5576770	0.762459179	
LOC5571882	0.762459179	
LOC5565754	0.762033224	
LOC5566474	0.76189124	
LOC5569340	0.761465285	
LOC5578523	0.76103933	
LOC5573673	0.760329405	
LOC5577356	0.760329405	
LOC5566421	0.75990345	
LOC5571211	0.75933551	
LOC5564135	0.75933551	
LOC5565942	0.758483601	
LOC110678020	0.758341616	
LOC5568207	0.758057646	
LOC5579195	0.757489706	
LOC5566555	0.757063751	
LOC5577439	0.757063751	
LOC5569595	0.756353826	
LOC5566057	0.755785887	
LOC5564151	0.755217947	
LOC5568204	0.755075962	
LOC5564594	0.754933977	
LOC5569135	0.754933977	
LOC5566371	0.753656112	
LOC5577633	0.753514128	
LOC5572463	0.753514128	
LOC5570478	0.753088173	
LOC5563615	0.752520233	
LOC5569762	0.751100383	
LOC5569512	0.749112594	
LOC110676410	0.748260684	
LOC5578702	0.748118699	
LOC5571006	0.747692745	
LOC5575842	0.747124805	
LOC5579118	0.747124805	
LOC5577062	0.74698282	
LOC5576021	0.746840835	
LOC5568246	0.74584694	
LOC5565328	0.74584694	
LOC5574827	0.74556297	
LOC5569868	0.743007241	
LOC5579825	0.742865256	
LOC5570857	0.742865256	
LOC5579251	0.742581286	
LOC5565892	0.742581286	
LOC5568213	0.742297316	
LOC110674225	0.742155332	
LOC5576767	0.741587392	
LOC5568000	0.741587392	
LOC5578353	0.741587392	
LOC5572102	0.740451512	
LOC5573079	0.740451512	
LOC5564467	0.740167542	
LOC5574667	0.739031663	
LOC5566851	0.738889678	
LOC110681517	0.738037768	
LOC5566513	0.738037768	
LOC5569544	0.738037768	
LOC5567273	0.737611813	
LOC5573467	0.737185858	
LOC5567265	0.735056084	
LOC5569234	0.734062189	
LOC5564096	0.733636235	
LOC5570026	0.73321028	
LOC5564681	0.73264234	
LOC110678585	0.73264234	
LOC5578257	0.732500355	
LOC5579004	0.73235837	
LOC5567660	0.731932415	
LOC5572816	0.73179043	
LOC5577184	0.730228596	
LOC5574265	0.730228596	
LOC5569466	0.729944626	
LOC23687451	0.729234701	
LOC5568657	0.729092716	
LOC110675790	0.728240806	
LOC5570723	0.727672867	
LOC5573378	0.727388897	
LOC5570245	0.727246912	
LOC5570663	0.727246912	
LOC5579810	0.727104927	
LOC5572461	0.726678972	
LOC5563900	0.726536987	
LOC5567991	0.726253017	
LOC5566784	0.725827062	
LOC110675223	0.722987363	
LOC5563701	0.722845378	
LOC5570006	0.721851484	
LOC5574895	0.720715604	
LOC5572215	0.720289649	
LOC5577010	0.720005679	
LOC5575195	0.71943774	
LOC5573606	0.71915377	
LOC5578809	0.719011785	
LOC5567847	0.7188698	
LOC5575608	0.71858583	
LOC5574311	0.718443845	
LOC5571582	0.718159875	
LOC5569750	0.71801789	
LOC23687811	0.71744995	
LOC5570008	0.71716598	
LOC5566289	0.716882011	
LOC5570318	0.715462161	
LOC5568659	0.715036206	
LOC5579332	0.714610251	
LOC5580230	0.714468266	
LOC5578976	0.714326281	
LOC5576358	0.713474372	
LOC5566203	0.713332387	
LOC5575621	0.712906432	
LOC5567743	0.712622462	
LOC5579028	0.712622462	
LOC5577988	0.712622462	
LOC5567507	0.712480477	
LOC5574982	0.712196507	
LOC5574903	0.712054522	
LOC5578628	0.711770552	
LOC5576477	0.711770552	
LOC5563771	0.711202613	
LOC5576734	0.711060628	
LOC5570746	0.710776658	
LOC5565359	0.710492688	
LOC5575945	0.710208718	
LOC5575840	0.709924748	
LOC5565513	0.709072838	
LOC5571425	0.708930853	
LOC5569942	0.708930853	
LOC5578803	0.708788868	
LOC5568784	0.707794974	
LOC5578119	0.707511004	
LOC5576465	0.707227034	
LOC5565160	0.707085049	
LOC5565354	0.706659094	
LOC5574220	0.704955275	
LOC5576244	0.70481329	
LOC5577684	0.704671305	
LOC5564645	0.702399546	
LOC23687408	0.701405651	
LOC5570090	0.701405651	
LOC110673999	0.701405651	
LOC5567089	0.701263666	
LOC5567584	0.701121681	
LOC5568540	0.700979696	
LOC5568309	0.700979696	
LOC5571706	0.700837711	
LOC5579032	0.700127786	
LOC5570930	0.699417862	
LOC5571955	0.699417862	
LOC5573455	0.698991907	
LOC5578723	0.698849922	
LOC110678734	0.697430072	
LOC5576247	0.696578163	
LOC5571818	0.696152208	
LOC5574699	0.696152208	
LOC5578497	0.695584268	
LOC5573995	0.695584268	
LOC5577739	0.695584268	
LOC5574326	0.695016328	
LOC5570837	0.694874343	
LOC5568929	0.694874343	
LOC5577893	0.693880449	
LOC5564929	0.693738464	
LOC5572351	0.693596479	
LOC5573338	0.693028539	
LOC5580046	0.692886554	
LOC5577540	0.69132472	
LOC5573750	0.690330825	
LOC5578392	0.690046855	
LOC5578293	0.68990487	
LOC5579869	0.689762885	
LOC5568458	0.68933693	
LOC5564725	0.689194945	
LOC5571305	0.687349141	
LOC5577501	0.686781201	
LOC5565202	0.686639216	
LOC5579853	0.685503337	
LOC5567636	0.684793412	
LOC5565769	0.684793412	
LOC5578960	0.684793412	
LOC5576900	0.684651427	
LOC5576444	0.684509442	
LOC5575624	0.684509442	
LOC5574971	0.684225472	
LOC5567109	0.683373562	
LOC5570900	0.683373562	
LOC5569257	0.683373562	
LOC5575011	0.683089593	
LOC5576549	0.682663638	
LOC5569542	0.682095698	
LOC110677949	0.681811728	
LOC110675582	0.681669743	
LOC5579293	0.681669743	
LOC5575394	0.681527758	
LOC23687431	0.680817833	
LOC5569176	0.679965924	
LOC5564933	0.679965924	
LOC5565997	0.679539969	
LOC5571875	0.679539969	
LOC5570973	0.678120119	
LOC5570531	0.677552179	
LOC5565745	0.677552179	
LOC5569977	0.677126225	
LOC5576163	0.6764163	
LOC5568002	0.6764163	
LOC5579865	0.675706375	
LOC5574550	0.675706375	
LOC5565429	0.67556439	
LOC5577042	0.67528042	
LOC5575585	0.675138435	
LOC110679698	0.675138435	
LOC5571592	0.673576601	
LOC5574464	0.673292631	
LOC5573626	0.672724691	
LOC5567222	0.672724691	
LOC5570412	0.672582706	
LOC5565610	0.672440721	
LOC5569990	0.672298736	
LOC5571453	0.672014766	
LOC5565857	0.671588812	
LOC5573072	0.671020872	
LOC5564956	0.670878887	
LOC5568876	0.668891098	
LOC5578996	0.668607128	
LOC5575783	0.668607128	
LOC5574802	0.668465143	
LOC5567280	0.667897203	
LOC5570078	0.667897203	
LOC5572540	0.667613233	
LOC5564835	0.667471248	
LOC5572617	0.667471248	
LOC5574317	0.666761323	
LOC5574194	0.666761323	
LOC5567962	0.666477353	
LOC5576960	0.665767429	
LOC23687749	0.665483459	
LOC5571596	0.664631549	
LOC5566986	0.664347579	
LOC5578034	0.66264376	
LOC5576689	0.662501775	
LOC5565264	0.662217805	
LOC5567948	0.662217805	
LOC5575615	0.66207582	
LOC5576890	0.661649865	
LOC5573818	0.66150788	
LOC5569994	0.661365895	
LOC5577994	0.661365895	
LOC5578456	0.661365895	
LOC5566087	0.66093994	
LOC5571289	0.66065597	
LOC5576242	0.660088031	
LOC5577287	0.659520091	
LOC5569121	0.659378106	
LOC5564087	0.658668181	
LOC5569462	0.658100241	
LOC5568402	0.656822377	
LOC5577031	0.655970467	
LOC5568814	0.655828482	
LOC5575480	0.655828482	
LOC5574814	0.654692603	
LOC5564970	0.654408633	
LOC110679519	0.653982678	
LOC5574124	0.653556723	
LOC5573594	0.652988783	
LOC5576943	0.652704813	
LOC5569552	0.651852904	
LOC5570620	0.651000994	
LOC5569585	0.650717024	
LOC5573415	0.650291069	
LOC5569452	0.650149084	
LOC5569287	0.650149084	
LOC5571651	0.649865114	
LOC5573531	0.649723129	
LOC5579463	0.64915519	
LOC5567843	0.64915519	
LOC110681295	0.64858725	
LOC5564521	0.64858725	
LOC5567190	0.648161295	
LOC5565301	0.647877325	
LOC5574515	0.6471674	
LOC5564562	0.647025415	
LOC5566042	0.646173506	
LOC5569157	0.645463581	
LOC5573851	0.645463581	
LOC110678654	0.645179611	
LOC110676126	0.644895641	
LOC5571132	0.644753656	
LOC5577368	0.644185716	
LOC5569924	0.643759761	
LOC5572224	0.643333807	
LOC5571886	0.642765867	
LOC5576319	0.642481897	
LOC5573218	0.642055942	
LOC5568466	0.641488002	
LOC5573732	0.641346017	
LOC5566687	0.641204032	
LOC5575304	0.640920062	
LOC5565534	0.639500213	
LOC5570869	0.639358228	
LOC5567163	0.639216243	
LOC110677938	0.639216243	
LOC5564337	0.638790288	
LOC5570306	0.638222348	
LOC5570985	0.637938379	
LOC5580325	0.637796394	
LOC5568147	0.637796394	
LOC5570798	0.637796394	
LOC5575162	0.637512424	
LOC5573206	0.637512424	
LOC5564260	0.637228454	
LOC5566722	0.637086469	
LOC110676286	0.636660514	
LOC5564848	0.636234559	
LOC5566168	0.635950589	
LOC5577102	0.635808604	
LOC5568292	0.635240664	
LOC5571895	0.635240664	
LOC5568611	0.634956695	
LOC5563881	0.634388755	
LOC5570323	0.633820815	
LOC5569985	0.633820815	
LOC5576642	0.63367883	
LOC5565095	0.63339486	
LOC5574970	0.633252875	
LOC5566774	0.632400965	
LOC110674025	0.632400965	
LOC5564921	0.632116996	
LOC5565734	0.631691041	
LOC5573115	0.630697146	
LOC5564460	0.630413176	
LOC5565647	0.629561267	
LOC5565521	0.628993327	
LOC5563777	0.628851342	
LOC5570275	0.627573477	
LOC5575771	0.627573477	
LOC5564635	0.626295613	
LOC5568615	0.625869658	
LOC5570947	0.625301718	
LOC5568493	0.625301718	
LOC5577947	0.624875763	
LOC5576352	0.624165838	
LOC5578798	0.624165838	
LOC23687936	0.623597899	
LOC110676623	0.622887974	
LOC5578948	0.621894079	
LOC5572532	0.621752094	
LOC5574376	0.621752094	
LOC5572484	0.621468124	
LOC5580263	0.62047423	
LOC5567097	0.62019026	
LOC5567811	0.62019026	
LOC5574210	0.619480335	
LOC5569285	0.61933835	
LOC5572725	0.618912395	
LOC110677009	0.618628425	
LOC5579027	0.618628425	
LOC5564210	0.617776516	
LOC5579871	0.617492546	
LOC5574095	0.617350561	
LOC5564094	0.616924606	
LOC5564524	0.616214681	
LOC110675977	0.615930711	
LOC5571143	0.615930711	
LOC5571107	0.615220787	
LOC5576036	0.614652847	
LOC5572323	0.614652847	
LOC5569522	0.614084907	
LOC5578801	0.613942922	
LOC5570741	0.613658952	
LOC5567173	0.613658952	
LOC5579248	0.613232997	
LOC5568528	0.613091012	
LOC5573733	0.613091012	
LOC5574136	0.612807042	
LOC110674038	0.612665058	
LOC5568122	0.612665058	
LOC5564816	0.612665058	
LOC5563715	0.611955133	
LOC5570705	0.611671163	
LOC5580182	0.611671163	
LOC5570432	0.610677268	
LOC5567881	0.610677268	
LOC5576330	0.610393298	
LOC5579011	0.609825359	
LOC5577697	0.609399404	
LOC110674827	0.609257419	
LOC5578279	0.609115434	
LOC5576179	0.608973449	
LOC5570598	0.608405509	
LOC23687515	0.608405509	
LOC5576538	0.607979554	
LOC5569787	0.607979554	
LOC5568714	0.607837569	
LOC5571572	0.607695584	
LOC5573997	0.607411614	
LOC5570420	0.606559705	
LOC5573460	0.60641772	
LOC5577734	0.606275735	
LOC5575813	0.60613375	
LOC5578128	0.605991765	
LOC5569793	0.60556581	
LOC5570397	0.60528184	
LOC5572280	0.604855885	
LOC5567981	0.6047139	
LOC5569700	0.604571915	
LOC5577382	0.604145961	
LOC5576139	0.603436036	
LOC5569819	0.603436036	
LOC5570549	0.603294051	
LOC5571745	0.603294051	
